state,total_enrolment,age_0_5,age_5_17,age_18_greater,Age_Coverage_Score,Growth_Score,Stability_Score,AadhaarPulse_Index,Rank
Meghalaya,109771,21179,53305,35287,54.32,71.69,0.0,47.69,1
Kerala,75002,53737,18590,2675,0.0,75.49,53.26,43.51,2
Dadra And Nagar Haveli And Daman And Diu,173,131,21,21,0.0,77.67,48.62,43.22,3
Lakshadweep,203,192,10,1,0.0,80.5,38.69,41.87,4
Odisha,122987,99431,22817,739,0.0,62.52,66.91,41.74,5
Jammu & Kashmir,155,133,22,0,0.0,67.5,56.93,41.23,6
Himachal Pradesh,17486,16639,661,186,0.0,63.72,62.92,41.22,7
Daman And Diu,120,107,13,0,0.0,85.42,25.17,40.46,8
Goa,2333,1916,254,163,0.0,59.73,61.34,39.23,9
Andaman & Nicobar Islands,114,109,5,0,0.0,72.29,40.0,38.92,10
West  Bengal,15,9,6,0,0.0,53.12,70.0,38.75,11
Daman & Diu,21,20,1,0,0.0,58.33,61.51,38.71,12
Dadra & Nagar Haveli,25,22,3,0,0.0,56.25,63.92,38.48,13
Pondicherry,1272,1193,79,0,0.0,56.22,63.63,38.4,14
Puducherry,1745,1585,116,44,0.0,56.01,63.46,38.27,15
Andhra Pradesh,127686,112445,13746,1495,0.0,53.1,67.94,38.22,16
Dadra And Nagar Haveli,744,669,71,4,0.0,69.23,40.52,37.82,17
Ladakh,617,466,133,18,0.0,64.56,44.66,36.99,18
Tamil Nadu,220789,182313,37227,1249,0.0,51.73,63.87,36.66,19
Andaman And Nicobar Islands,397,370,27,0,0.0,59.3,48.34,35.8,20
Chandigarh,2723,2476,211,36,0.0,53.7,51.35,34.32,21
100000,218,0,1,217,0.0,53.33,51.01,34.08,22
Jammu And Kashmir,48941,40406,8000,535,0.0,50.41,50.06,32.68,23
Arunachal Pradesh,4344,1957,2236,151,10.43,46.45,13.38,25.58,24
Assam,230197,141235,66085,22877,15.94,49.72,0.0,25.47,25
Sikkim,2207,1054,1047,106,14.41,50.9,0.0,25.4,26
Telangana,131574,105918,24505,1151,0.0,50.48,20.78,25.39,27
Tripura,11285,7376,3654,255,3.92,49.85,14.0,24.81,28
Nagaland,15587,4512,9953,1122,8.44,53.33,0.0,24.29,29
Jharkhand,157539,98551,57539,1449,2.76,53.18,5.36,23.58,30
Punjab,76746,61224,12350,3172,0.0,58.22,0.0,23.29,31
Bihar,609585,262875,334802,11908,5.86,51.37,0.0,22.6,32
Manipur,13456,5140,8053,263,5.86,48.67,0.0,21.52,33
Haryana,98252,88042,9110,1100,0.0,53.47,0.0,21.39,34
Mizoram,5926,4136,1295,495,0.0,52.99,0.0,21.2,35
Gujarat,280549,193031,71182,16336,0.0,52.79,0.0,21.12,36
Chhattisgarh,103219,82453,18769,1997,0.0,52.65,0.0,21.06,37
Uttar Pradesh,1018629,521045,479682,17902,5.27,47.96,0.0,21.03,38
Rajasthan,348458,229780,113123,5555,2.17,50.05,0.0,20.78,39
Uttarakhand,37698,31880,5479,339,0.0,51.31,0.0,20.52,40
The Dadra And Nagar Haveli And Daman And Diu,716,548,141,27,0.0,50.0,0.0,20.0,41
Madhya Pradesh,493970,367990,116381,9599,0.0,49.85,0.0,19.94,42
Karnataka,223235,179262,33863,10110,0.0,49.46,0.0,19.78,43
Delhi,94529,69183,22296,3050,0.0,48.21,0.0,19.28,44
West Bengal,375325,275411,91404,8510,0.0,47.64,0.75,19.24,45
Maharashtra,369139,278814,82116,8209,0.0,47.59,0.0,19.04,46
